Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),CO2 emissions (kg per 2015 US$ of GDP),CO2 emissions (kg per 2017 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 intensity (kg per kg of oil equivalent energy use),Cereal yield (kg per hectare),Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy use (kg of oil equivalent per capita),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Total greenhouse gas emissions (% change from 1990),Total greenhouse gas emissions (kt of CO2 equivalent),Urban population,Urban population (% of total population),Urban population growth (annual %),iso_code,country,year
100.0,45.2900702,4149440.0,1.129325505,19.1444588,0.414349351,0.402967193,0.543313838,5749250.0,20.17500468,20.51561885,1179494.217,40.48902495,2327815.267,35.45080263,2038155.27,2.577324687,5891.1,13046.61415,51.63342695,4.90388871,17.19049367,20.64701468,3.374907622,1.880103604,72174000000.0,7827.886325,156.3509615,1.630116343,33.18675561,3040544.0,-13.52260537,672400.0,8.3,-3.768367757,255040.0,11.03862969,118677.5938,0.989741382,43.80948023,284968955.0,6.783992314,4.67869997,0.7824435249841599,11.16577021,6806970.0,225792302.0,79.234,1.213380422,USA,United States,2001
100.0,45.08487304,4130640.0,0.970430947,18.87999459,0.396270172,0.385384648,0.51151661,5594160.0,19.44947847,21.91038662,1225702.084,41.19265693,2304383.137,36.83059873,2060362.622,2.479742871,5546.8,13296.1823,50.65729949,6.63207993,17.69402387,19.9811047,2.636052711,2.014281247,81103000000.0,7843.344849,155.4131488,1.015460357,33.24333764,3045728.0,-13.59066928,659770.0,8.2,-4.328858747,255210.0,62.91818091,38003.59375,0.927797486,43.8598993,287625193.0,8.646361178,4.840799809,0.74823044066855,13.78227532,6646960.0,228400290.0,79.409,1.148418847,USA,United States,2002
100.0,45.08032159,4130223.0,1.11525742,18.63488221,0.389756088,0.379049506,0.493935202,5659630.0,19.50870471,21.02598294,1189992.838,41.98970055,2376461.689,36.34364158,2056915.642,2.502965767,6023.7,13307.49201,51.38116764,6.87134694,16.52897698,19.42999258,3.379207423,2.018029181,81824000000.0,7794.23553,151.4401477,1.022023979,33.29991967,3050912.0,-13.54754123,659470.0,8.1,-4.170052966,260060.0,40.19113447,26838.90625,0.859481713,43.94497754,290107933.0,8.889376121,5.326300144,0.8863706758700687,13.93658196,6706390.0,230876596.0,79.583,1.078360384,USA,United States,2003
100.0,45.07580289,4129809.0,1.25866008,18.393077,0.380825758,0.370364492,0.469965391,5740030.0,19.60357288,20.36068749,1168709.57,42.30239312,2428170.056,36.66565584,2104619.645,2.487264769,6851.1,13388.58971,50.39668955,6.535987734,17.6359183,19.60760159,3.353093479,2.094197798,86869000000.0,7881.578642,148.9043291,1.749187307,33.35650169,3056096.0,-14.66714552,654670.0,8.1,-3.01170492,258750.0,150.1793335,58947.29688,0.925483969,44.00647593,292805298.0,8.630185532,5.477700233,1.0147973238620267,18.05999208,6787570.0,233532722.0,79.757,1.143885301,USA,United States,2004
100.0,45.0712951,4129396.0,1.142255277,18.14800828,0.368929329,0.358794857,0.441530939,5756080.0,19.478026,20.20465984,1162996.384,42.50137908,2446413.381,36.8927181,2123574.368,2.482384092,6450.7,13704.57705,50.45708636,6.382108498,18.33801176,18.99150762,3.309762006,2.196357036,93760000000.0,7846.499688,144.5363988,1.091876415,33.41308372,3061280.0,-15.56373856,652360.0,8.0,-3.451690347,257930.0,119.5591224,64437.90625,0.921713167,44.0731446,295516599.0,8.578465534,5.841199875,1.00387001,17.05832709,6801820.0,236200507.0,79.928,1.135884591,USA,United States,2005
100.0,45.06684188,4128988.0,1.000677774,17.90293956,0.352488541,0.342805697,0.409463562,5656580.0,18.9576435,20.35566249,1151434.333,42.33868109,2394921.367,37.02272456,2094220.033,2.462782441,6400.4,13583.26696,49.77287778,6.827327462,19.71396097,19.09223158,1.839082987,2.417303722,103340000000.0,7697.652535,139.19447,2.160487842,33.46966575,3066464.0,-15.19158266,653140.0,7.9,-5.986043774,260110.0,71.02920478,90576.79688,0.964253917,44.12657746,298379912.0,9.244631183,6.396699905,1.3784313787446791,13.98273022,6707430.0,238999326.0,80.099,1.17796816,USA,United States,2006
100.0,45.06234501,4128576.0,1.066822141,17.65787084,0.351116124,0.34147098,0.397199429,5740270.0,19.05602695,21.68366316,1244700.811,41.41330331,2377235.426,36.77636355,2111062.564,2.456254093,6704.4,13657.45283,48.99390945,5.772985824,21.16591099,19.34899275,1.80706605,2.594778112,112196000000.0,7758.165986,139.0210326,2.398397384,33.52624777,3071648.0,-14.84232383,645850.0,7.7,-6.083195546,263290.0,103.3489548,102610.5,0.951055243,44.19076175,301231207.0,8.367763936,6.304200172,1.6349380931158066,16.18062371,6797860.0,241795278.0,80.269,1.163067761,USA,United States,2007
100.0,44.92002116,4109023.0,1.065783136,17.53778661,0.340759224,0.331398583,0.378128115,5563340.0,18.29480563,22.30247393,1240762.453,40.30256671,2242168.815,37.36051131,2078492.27,2.443189834,6598.3,13663.42797,49.10443981,5.911010412,20.95740713,19.29099374,1.330330787,3.092530935,134308000000.0,7488.081921,135.6417657,2.318328109,33.6360635,3076832.0,-14.08922959,659100.0,7.6,-8.873506525,248090.0,90.29053164,109824.0938,0.945865287,44.26293812,304093966.0,9.003541347,6.845600128,1.922988639131617,8.358700857,6619980.0,244607104.0,80.438,1.156185671,USA,United States,2008
100.0,44.7062669,4089470.0,0.968572536,17.38971207,0.32425224,0.315345046,0.357088651,5159550.0,16.81886848,23.79998172,1227971.957,41.71405727,2152257.642,35.70114527,1842018.441,2.383361785,7226.2,12913.71469,45.4377316,6.616179258,22.80158304,19.93112298,1.211049612,3.675665813,153106000000.0,7056.783653,132.3110272,1.114843565,33.69273522,3082016.0,-17.08513948,649370.0,7.5,-8.209324702,241240.0,156.3932123,114027.5,0.876651299,44.36956534,306771529.0,10.29184507,7.354400158,2.321404822786775,7.62660236,6194450.0,247276259.0,80.606,1.085290294,USA,United States,2009
100.0,44.49251264,4069917.0,1.042481339,17.24163753,0.330443452,0.321366185,0.35971525,5392870.0,17.43419587,23.64371053,1275074.572,40.16940733,2166283.917,35.44897448,1911717.11,2.434458519,6978.1,13394.90276,45.79760576,6.023062386,23.37584166,19.26644609,1.104317669,4.097292761,178411000000.0,7161.426552,132.0072543,1.761193112,33.74940694,3087200.0,-17.71026103,649940.0,7.3,-8.368130482,246690.0,120.2306897,85723.0,0.829616675,44.50312981,309327143.0,10.12035515,7.43569994,2.4771305369496304,9.407540304,6442580.0,249849720.0,80.772,1.035344801,USA,United States,2010
